Namespace(algo='dqn', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=4000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=2, parallel_env=0, print_freq=200, replay_size=20000, save_dir='cartpole_dqn/', target_update=1000, train_freq=1, train_start=100, value_coef=0.5)
observation space: Box(4,)
action space: Discrete(2)
running on device cpu
obses on reset: 2 x (4,) float32
iter    200 |loss   0.02 |n_ep    14 |ep_len   25.8 |ep_rew  25.77 |raw_ep_rew  25.77 |env_step    400 |time 00:00 rem 00:11
iter   6200 |loss   0.20 |n_ep   396 |ep_len  149.0 |ep_rew 149.05 |raw_ep_rew 149.05 |env_step  12400 |time 00:16 rem 00:10
iter   6400 |loss   0.04 |n_ep   398 |ep_len  152.7 |ep_rew 152.66 |raw_ep_rew 152.66 |env_step  12800 |time 00:17 rem 00:10
iter   6600 |loss   0.04 |n_ep   400 |ep_len  155.1 |ep_rew 155.10 |raw_ep_rew 155.10 |env_step  13200 |time 00:18 rem 00:09
iter   6800 |loss   0.15 |n_ep   402 |ep_len  156.1 |ep_rew 156.11 |raw_ep_rew 156.11 |env_step  13600 |time 00:19 rem 00:09
iter   7000 |loss   0.35 |n_ep   404 |ep_len  157.0 |ep_rew 156.97 |raw_ep_rew 156.97 |env_step  14000 |time 00:20 rem 00:08
iter   7200 |loss   0.03 |n_ep   407 |ep_len  163.5 |ep_rew 163.50 |raw_ep_rew 163.50 |env_step  14400 |time 00:21 rem 00:08
iter   7400 |loss   0.18 |n_ep   410 |ep_len  167.7 |ep_rew 167.74 |raw_ep_rew 167.74 |env_step  14800 |time 00:21 rem 00:07
iter   7600 |loss   0.32 |n_ep   411 |ep_len  170.4 |ep_rew 170.36 |raw_ep_rew 170.36 |env_step  15200 |time 00:22 rem 00:07
iter   7800 |loss   0.37 |n_ep   413 |ep_len  183.6 |ep_rew 183.61 |raw_ep_rew 183.61 |env_step  15600 |time 00:23 rem 00:06
iter   8000 |loss   0.02 |n_ep   415 |ep_len  191.4 |ep_rew 191.41 |raw_ep_rew 191.41 |env_step  16000 |time 00:24 rem 00:06
iter   8200 |loss   0.48 |n_ep   417 |ep_len  188.7 |ep_rew 188.67 |raw_ep_rew 188.67 |env_step  16400 |time 00:25 rem 00:05
iter   8400 |loss   0.06 |n_ep   418 |ep_len  196.8 |ep_rew 196.80 |raw_ep_rew 196.80 |env_step  16800 |time 00:26 rem 00:05
iter   8600 |loss   0.09 |n_ep   419 |ep_len  205.7 |ep_rew 205.72 |raw_ep_rew 205.72 |env_step  17200 |time 00:27 rem 00:04
iter   8800 |loss   0.13 |n_ep   421 |ep_len  210.6 |ep_rew 210.62 |raw_ep_rew 210.62 |env_step  17600 |time 00:28 rem 00:03
iter   9000 |loss   0.07 |n_ep   423 |ep_len  212.6 |ep_rew 212.64 |raw_ep_rew 212.64 |env_step  18000 |time 00:29 rem 00:03
iter   9200 |loss   0.03 |n_ep   424 |ep_len  216.4 |ep_rew 216.37 |raw_ep_rew 216.37 |env_step  18400 |time 00:29 rem 00:02
iter   9400 |loss   0.03 |n_ep   427 |ep_len  225.5 |ep_rew 225.46 |raw_ep_rew 225.46 |env_step  18800 |time 00:30 rem 00:01
iter   9600 |loss   0.24 |n_ep   428 |ep_len  225.8 |ep_rew 225.82 |raw_ep_rew 225.82 |env_step  19200 |time 00:31 rem 00:01
iter   9800 |loss   0.08 |n_ep   430 |ep_len  232.5 |ep_rew 232.51 |raw_ep_rew 232.51 |env_step  19600 |time 00:32 rem 00:00
save checkpoint to cartpole_dqn/9999.pth
